Expt,Run,Speed
1,1,3
1,2,0
1,3,0
1,4,-2
1,5,-1
1,6,3
1,7,-1
1,8,4
1,9,3
1,10,5
1,11,0
1,12,4
1,13,2
1,14,4
1,15,-3
1,16,-4
1,17,-6
1,18,5
1,19,-2
1,20,0
1,21,2
1,22,2
1,23,-5
1,24,1
1,25,0
1,26,2
1,27,1
1,28,5
1,29,0
1,30,-2
1,31,-1
1,32,1
1,33,2
1,34,2
1,35,0
1,36,0
1,37,-1
1,38,5
1,39,0
1,40,0
1,41,-6
1,42,7
1,43,3
1,44,0
1,45,1
1,46,-2
1,47,1
1,48,-1
1,49,0
1,50,0
1,51,0
1,52,7
1,53,2
1,54,2
1,55,-8
1,56,-6
1,57,0
1,58,0
1,59,0
1,60,-3
1,61,0
1,62,-3
1,63,3
1,64,2
1,65,0
1,66,1
1,67,-2
1,68,0
1,69,0
1,70,0
1,71,1
1,72,0
1,73,-8
1,74,0
1,75,0
1,76,0
1,77,0
1,78,1
1,79,1
1,80,3
1,81,2
1,82,0
1,83,-2
1,84,0
1,85,-4
1,86,3
1,87,0
1,88,3
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,-1
1,96,0
1,97,-1
1,98,0
1,99,-6
1,100,-2
1,101,1
1,102,0
1,103,9
1,104,5
1,105,-2
1,106,2
1,107,0
1,108,0
1,109,0
1,110,0
1,111,1
1,112,-2
1,113,2
1,114,0
1,115,0
1,116,3
1,117,5
1,118,3
1,119,0
1,120,3
1,121,0
1,122,0
1,123,-7
1,124,0
1,125,0
1,126,-3
1,127,3
1,128,0
1,129,2
1,130,0
1,131,2
1,132,0
1,133,-1
1,134,2
1,135,-4
1,136,0
1,137,0
1,138,0
1,139,3
1,140,9
1,141,3
1,142,-1
1,143,3
1,144,0
1,145,0
1,146,0
1,147,1
1,148,2
1,149,0
1,150,5
1,151,2
1,152,2
1,153,1
1,154,-1
1,155,2
1,156,0
1,157,0
1,158,-2
1,159,2
1,160,0
1,161,-6
1,162,3
1,163,-1
1,164,2
1,165,1
1,166,1
1,167,-3
1,168,-2
1,169,0
1,170,0
1,171,0
1,172,2
1,173,0
1,174,0
1,175,-1
1,176,0
1,177,0
1,178,-2
1,179,0
1,180,6
1,181,2
1,182,0
1,183,0
1,184,5
1,185,0
1,186,3
1,187,-2
1,188,-6
1,189,0
1,190,3
1,191,7
1,192,-3
1,193,0
1,194,0
1,195,2
1,196,-1
1,197,3
1,198,5
1,199,0
1,200,-3
1,201,0
1,202,-2
1,203,0
1,204,0
1,205,7
1,206,-1
1,207,0
1,208,3
1,209,0
1,210,0
1,211,5
1,212,3
1,213,4
1,214,-6
1,215,0
1,216,-3
1,217,-2
1,218,5
1,219,-4
1,220,-4
1,221,2
1,222,0
1,223,-1
1,224,1
1,225,-4
1,226,-1
1,227,-6
1,228,2
1,229,-3
1,230,0
1,231,-7
1,232,3
1,233,-2
1,234,3
1,235,3
1,236,-6
